sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
EED_Epi,0.276777132,-0.266503504,0.064559435,0.071552028,-0.025670445,0.044140112,-0.059634662,0.072069045,-0.041772777,-0.081833421,0.075970604,-0.040381836,0.294458096,0.563715412,-0.133119464,-0.62743908
EED_ExE,0.272611355,0.168230264,0.199528896,0.184393944,-0.018255764,0.099401656,0.048184632,0.037974886,-0.152003742,-0.301769367,0.152406295,-0.171857202,0.676656329,-0.347099178,-0.139059092,0.212083437
G9A_Epi,0.24002015,-0.198049271,-0.574741241,0.077209354,-0.108130642,0.451246659,0.534164584,-0.139830844,-0.110883992,0.111544856,0.031404154,-0.007081503,-0.038536596,-0.134553917,0.009687795,-0.034931681
G9A_ExE,0.223187176,0.265970226,-0.678554488,0.245431576,0.204929953,-0.211237146,-0.447365534,0.109074751,0.107270106,-0.167327082,-0.106404348,-0.008075355,-0.001956513,0.021711618,-0.092209876,0.015925589
KDM2B_Epi,0.24371497,-0.242350877,0.07435672,-0.028148298,-0.110835436,0.066453523,-0.493872751,-0.730610357,-0.100979388,0.123535974,0.017778649,-0.071907519,-0.075431545,-0.207754034,-0.007355951,-0.035985449
KDM2B_ExE,0.251976374,0.244355891,0.152021226,0.006685596,-0.039191882,0.189268801,-0.0495111,0.029862691,-0.273306293,-0.05346615,-0.123750088,0.822047499,-0.114200041,0.012036394,-0.176414056,-0.001251779
KMT2A_Epi,0.244623964,-0.273388114,0.012383183,-0.186771147,-0.070331142,0.104268766,-0.281931632,0.538181141,0.112920883,0.174685716,0.48233216,0.040967539,-0.17185976,-0.363752488,-0.016322073,-0.075706554
KMT2A_ExE,0.249177305,0.244727225,0.088426219,-0.159380889,-0.088806108,0.118015836,-0.077295853,0.225264449,-0.142319937,0.57885367,-0.517427507,-0.327620752,0.053388922,0.005738479,-0.181598798,0.003203247
KMT2B_Epi,0.243698778,-0.248988541,-0.010400858,-0.415229748,-0.242285323,-0.196936737,0.102264448,0.066432823,0.241391047,-0.48683772,-0.497355062,0.016433897,-0.039856411,-0.211172594,0.014486156,-0.066551611
KMT2B_ExE,0.22854455,0.289583086,-0.143093723,-0.427798517,-0.189268288,-0.552165656,0.244462837,-0.189533472,-0.108953322,0.167585538,0.392251914,0.027198344,0.056258566,0.10472688,-0.122820482,0.015892081
L3MBTL2_Epi,0.236783016,-0.210490097,0.108397684,-0.106754251,0.859606847,-0.192093429,0.190199101,-0.034309545,-0.179438562,0.052831749,-0.072062006,-0.002098949,-0.062341359,-0.133765261,0.013982386,-0.033803957
L3MBTL2_ExE,0.238760511,0.270432699,0.162141359,-0.027268827,0.183764766,0.249292804,0.114285974,-0.192087025,0.808883668,0.077205033,0.094197988,0.034758952,-0.024576331,0.072813148,-0.143512771,0.010702669
RNF2_Epi,0.242353882,-0.193998205,0.16446827,0.664002993,-0.219240714,-0.465152657,0.208953733,0.039549712,0.151630663,0.23511311,-0.094709577,0.097481148,-0.11308637,-0.125925752,0.021073972,0.013701566
RNF2_ExE,0.256189162,0.234904063,0.199132457,0.144806771,-0.051724868,0.104560153,0.080772442,0.026717439,-0.230426206,-0.385852941,0.134246524,-0.408104456,-0.614436266,0.115174081,-0.142465776,0.008635176
WT_Epi,0.266083439,-0.331467326,-0.001318822,-0.063104068,-0.018236749,0.046904445,-0.081206113,0.075016732,0.007229085,0.002793183,0.019910087,0.02224585,0.041391338,0.508578345,0.087643302,0.729104059
WT_ExE,0.277439753,0.26768483,0.057580739,-0.01183265,-0.019316497,0.051673928,-0.024395207,0.023051437,-0.026013486,0.008679797,0.002952977,0.001860386,0.039323365,0.03138068,0.908524408,-0.122616269
