sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
DNMT3A_Epi,0.202159798,-0.130688557,0.501881015,0.186623896,-0.115227159,0.188226115,0.043855164,-0.354791495,0.201148349,-0.295423348,-0.216276982,0.060509456,-0.101907002,-0.317674427,-0.344821474,-0.017386853,0.07691996,-0.235702511,0.058332967,0.072651064
DNMT3A_ExE,0.200132076,0.231229788,0.459607841,0.016066306,-0.048819599,-0.007369222,-0.00963735,-0.105974751,-0.061794588,-0.175454462,-0.023859534,-0.285430296,-0.003514948,0.225730912,0.641636394,-0.269267843,-0.043725057,0.108897683,0.119647065,-0.036379246
DNMT3B_Epi,0.1989231,-0.284081759,-0.303057316,0.044512082,-0.230306562,0.052319947,-0.199022244,0.078768681,-0.459969691,-0.092751393,-0.36094265,-0.351917248,-0.346838592,-0.066366797,0.100068268,0.047615714,0.216134767,-0.155027385,-0.030974428,0.036322748
DNMT3B_ExE,0.174130028,0.104074789,-0.623372195,0.121487683,-0.12289129,0.283837755,0.132076459,-0.417937861,0.225185314,-0.367418813,0.12138242,0.111330036,0.065845087,0.037643898,0.177036412,-0.107543508,-0.051551663,0.033307759,0.048858519,-0.008079847
EED_Epi,0.250480831,-0.251067705,-0.00564149,-0.078901976,-0.056110717,-0.033148549,0.003823024,-0.044545932,-0.139805992,0.084696672,-0.078181112,0.039408994,0.136084598,-0.09289535,-0.078546568,-0.039176665,-0.373422798,0.507231297,0.254017209,0.575526165
EED_ExE,0.25337361,0.143621442,-0.051095373,-0.178643108,-0.079969453,-0.093333227,-0.050189725,0.000766493,-0.332021158,0.046266984,-0.057769841,0.126270966,0.300885003,-0.169912364,-0.06415843,-0.172096878,-0.532337358,-0.452493552,0.078602401,-0.289684229
G9A_Epi,0.213843788,-0.177483597,-0.039136422,0.600778262,0.459638357,-0.452893474,-0.009124179,-0.028704973,-0.184053713,-0.169174104,0.261713844,0.043077527,0.035204473,0.010981173,0.017060625,0.007517255,0.019865124,-0.085973822,-0.000550999,0.026032435
G9A_ExE,0.214595248,0.242951561,-0.16095951,0.209089862,0.255869233,-0.115453175,0.125715258,-0.004928618,0.334874481,0.39445232,-0.666087117,-0.052223282,0.007239495,0.070454155,0.007008463,-0.045449208,0.003237204,-0.014085171,0.092419546,-0.025606771
KDM2B_Epi,0.217417756,-0.217640701,0.009919932,-0.102943756,-0.100328132,-0.015972055,0.838550062,0.366920801,0.048677523,-0.057523102,0.080734512,-0.059948405,-0.016292544,0.029696132,0.041005805,-0.033031721,0.06261986,-0.149187449,0.011978473,0.022727006
KDM2B_ExE,0.237670279,0.228804834,0.057049531,-0.037987249,-0.05959076,0.003351954,0.036973309,-0.049259308,-0.094564759,-0.047230196,0.002047115,-0.007609505,0.261557185,-0.049021095,0.126992281,0.86528539,0.121164562,0.022857679,0.128046542,-0.024740868
